BKG_HTLSEQ,BKG_CITYCD,GMV,GR,GRASP,ATTRIBUTE_VALUE,GR_Bucket,IHM_Bucket,DND_Bucket,APPONLY_Bucket,INDIAIP_Bucket,SDND_Bucket,New_GR,New_IHM,New_APPONLY,New_INDIAIP,New_SDND
8501583363681626,HC200802201459011454,190657.66,36456.62,19.12,"INTL_METADND,INTL_ALL,Intl_rest,INTL_APPFESTUSEUROPE,INTL_MONSOONUSEUROPE,INTL_GR_high4,IH4STAR,INTL_SDND15,IHM10",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high4,IHM10, , ,INTL_SDND15
8501583363681642,HC200802201459011454,38630.3,3442.7,8.91,"INTL_METADND,INTL_ALL,INTL_GR_15,IH4STAR,INTL_SDND15,IHM3",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_15,IHM3, , ,INTL_SDND15
8501583363681720,HC200802201457087648,6848.2,939.56,13.72,"INTL_METADND,INTL_ALL,INTL_CN_HK_MO,INTL_RPC,INTL_6K_9K,INTL_RPC,IH3STAR,INTL_DND,INTL_HPA0,INTL_TVG0,INTL_TRIP0,INTL_SDND6,INTL_GR_high2,INTL_BDND,INTL_EBLACK7,IHM6,INTL_APPONLY6,INTL_INDIAIP6",['INTL_GR_6'],[],['INTL_DND'],[],[],['INTL_SDND0'],INTL_GR_high2,IHM6,INTL_APPONLY6,INTL_INDIAIP6,INTL_SDND6
8501583363681760,HC200802201457087648,44407.86,3227.61,7.27,"INTL_METADND,INTL_ALL,INTL_DND,INTL_MU,INTL_EXPORC,INTL_9KPlus,INTL_BDND,INTL_GR_12,INTL_DRMS,INTL_PDND,IHM3,INTL_EBLACK4,INTL_HPA1,INTL_TVG1,INTL_TRIP1,INTL_APPONLY,INTL_INDIAIP1,INTL_SDND1",['INTL_GR_12'],['IHM0'],['INTL_DND'],[],[],[],INTL_GR_12,IHM3,INTL_APPONLY,INTL_INDIAIP1,INTL_SDND1
8501583363681772,HC200802201457087648,28488.33,4680.71,16.43,"INTL_METADND,INTL_ALL,INTL_DEAL2,INTL_HPA3,INTL_3K_6K,IH3STAR,INTL_TVG3,INTL_TRIP3,INTL_GR_high3,INTL_3K_5K,INTL_SDNDND,IHM8",['INTL_GR_21'],[],[],[],[],['INTL_SDNDND'],INTL_GR_high3,IHM8, , ,INTL_SDNDND
8501583363681794,HC200802201457087648,95513.08,13549.42,14.19,"INTL_METADND,INTL_ALL,INTL_CN_HK_MO,INTL_APPFESTALL,INTL_Zero_3K,INTL_GR_high2,IH2STAR,INTL_HPA4,INTL_TVG4,INTL_TRIP4,INTL_SDNDND,INTL_MMTF,INTL_ZERO_3K,IHM7",['INTL_GR_high3'],[],[],[],[],['INTL_SDNDND'],INTL_GR_high2,IHM7, , ,INTL_SDNDND
8501583363681798,HC200802201457087648,99174.15,15121.62,15.25,"INTL_METADND,INTL_ALL,INTL_CN_HK_MO,INTL_APPFESTALL,INTL_Zero_3K,IH3STAR,INTL_HPA3,INTL_TVG3,INTL_TRIP3,INTL_GR_high3,INTL_MMTF,INTL_ZERO_3K,INTL_SDNDND,IHM7",['INTL_GR_high2'],[],[],[],[],['INTL_SDNDND'],INTL_GR_high3,IHM7, , ,INTL_SDNDND
8501583363681826,HC200802201457577963,92070.41,14986.57,16.28,"INTL_METADND,INTL_ALL,Intl_b2c_no,INTL_MONSOONUSEUROPE,INTL_GR_high3,IH3STAR,INTL_SDND15,IHM8",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high3,IHM8, , ,INTL_SDND15
8501583363682078,HC200802201457005712,9238.64,384.99,4.17,"INTL_METADND,INTL_ALL,Intl_rest,INTL_APPFESTALL,INTL_MONSOONROW,INTL_MONSOONUSEUROPE,INTL_GR_6,IH3STAR,INTL_SDND15,IHM1",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_6,IHM1, , ,INTL_SDND15
8501583363682106,HC200802201457005712,56797.86,3579.7,6.3,"INTL_METADND,INTL_ALL,INTL_EXPORC,INTL_ACCOR,INTL_GR_8,INTL_DND,INTL_BDND,INTL_SDND1,INTL_EBLACK3,IHM3,INTL_APPONLY,INTL_INDIAIP1",['INTL_GR_6'],[],['INTL_DND'],[],[],['INTL_SDND1'],INTL_GR_8,IHM3,INTL_APPONLY,INTL_INDIAIP1,INTL_SDND1
8501583363682184,HC200802201457005712,78841.52,13625.98,17.28,"INTL_METADND,INTL_ALL,INTL_DND,INTL_EXPORC,INTL_ACCOR,INTL_GR_high4,IH4STAR,INTL_BDND,INTL_EBLACK4,INTL_SDND7,IHM8,INTL_APPONLY7,INTL_INDIAIP7",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDNDND'],INTL_GR_high4,IHM8,INTL_APPONLY7,INTL_INDIAIP7,INTL_SDND7
8501583363682270,HC200802201457005712,36505.66,3436.88,9.41,"INTL_METADND,INTL_ALL,Intl_rest,INTL_APPFESTALL,INTL_MONSOONROW,INTL_MONSOONUSEUROPE,INTL_GR_18,IH3STAR,INTL_SDND15,IHM3",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_18,IHM3, , ,INTL_SDND15
8501583363682292,HC200802201457005712,22191.66,4314.84,19.44,"INTL_METADND,INTL_ALL,INTL_GR_high4,IH4STAR,INTL_ACCO,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,IHM10",['INTL_GR_12'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDND15']",INTL_GR_high4,IHM10, , ,INTL_SDNDND
8501583363682596,HC200802201459083600,16015.62,986.72,6.16,"INTL_METADND,INTL_ALL,Intl_rest,INTL_APPFESTUSEUROPE,INTL_MONSOONUSEUROPE,INTL_GR_8,IH3STAR,INTL_SDND15,INTL_MMTF,INTL_3K_5K,INTL_HPA1,INTL_TVG1,INTL_TRIP1,IHM3",['INTL_GR_6'],[],[],[],[],['INTL_SDND15'],INTL_GR_8,IHM3, , ,INTL_SDND15
8501583363682606,HC200802201459083600,32084.15,2434.9,7.59,"INTL_METADND,INTL_ALL,INTL_DND,INTL_EXPORC,INTL_GR_12,INTL_BDND,INTL_EBLACK4,INTL_SDND1,IHM3,INTL_APPONLY,INTL_INDIAIP1",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDNDND'],INTL_GR_12,IHM3,INTL_APPONLY,INTL_INDIAIP1,INTL_SDND1
8501583363682622,HC200802201459083600,7069.91,553.02,7.82,"INTL_METADND,INTL_ALL,INTL_DRMS,IH3STAR,IHM3,INTL_SDNDD,INTL_HPA5,INTL_EBLACK11,INTL_TVG5,INTL_TRIP5,INTL_GR_15",[],['IHM6'],[],[],[],['INTL_SDNDD'],INTL_GR_15,IHM3, , ,INTL_SDNDD
8501583363682636,HC200802201459083600,23629.64,4002.28,16.94,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,INTL_EXPORC,INTL_6K_9K,IH3STAR,INTL_HPA5,INTL_TVG5,INTL_TRIP5,INTL_GR_high4,INTL_SDNDND,IHM8",['INTL_GR_high'],[],[],[],[],['INTL_SDNDND'],INTL_GR_high4,IHM8, , ,INTL_SDNDND
8501583363682654,HC200802201459083600,24734.72,2517.5,10.18,"INTL_METADND,INTL_ALL,INTL_HPA5STAR,INTL_TRIP5STAR,INTL_TVG5STAR,INTL_GR_18,INTL_SDND18,IHM4",['INTL_GR_8'],[],[],[],[],['INTL_SDND18'],INTL_GR_18,IHM4, , ,INTL_SDND18
8501583363682666,HC200802201459083600,7715.39,700.28,9.08,"INTL_METADND,INTL_ALL,INTL_GR_15,INTL_3K_6K,IH4STAR,INTL_SDND15,IHM3",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_15,IHM3, , ,INTL_SDND15
8501583363682690,HC200802201459083600,14476.79,1449.25,10.01,"INTL_METADND,INTL_ALL,Intl_rest,INTL_MONSOONUSEUROPE,INTL_GR_18,IH3STAR,INTL_SDND15,IHM4",['INTL_GR_15'],[],[],[],[],['INTL_SDND15'],INTL_GR_18,IHM4, , ,INTL_SDND15
8501583363682712,HC200802201459083600,52724.41,5278.74,10.01,"INTL_METADND,INTL_ALL,Intl_rest,INTL_MONSOONUSEUROPE,INTL_GR_18,IH4STAR,INTL_SDND15,IHM4",['INTL_GR_15'],[],[],[],[],['INTL_SDND15'],INTL_GR_18,IHM4, , ,INTL_SDND15
8501583363682714,HC200802201459083600,15537.14,1053.95,6.78,"INTL_METADND,INTL_ALL,INTL_GR_8,IH4STAR,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,IHM3",['INTL_GR_high2'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDND15']",INTL_GR_8,IHM3, , ,INTL_SDNDND
8501583363682720,HC200802201459083600,16145.98,2828.14,17.52,"INTL_METADND,INTL_ALL,Intl_no,INTL_GR_high4,IH2STAR,INTL_HPA3,INTL_TVG3,INTL_TRIP3,INTL_SDNDND,IHM9",['INTL_GR_12'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDND15']",INTL_GR_high4,IHM9, , ,INTL_SDNDND
8501583363682740,HC200802201459083600,5865.97,984.27,16.78,"INTL_METADND,INTL_ALL,INTL_GR_high4,IH1STAR,INTL_SDND15,IHM8",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high4,IHM8, , ,INTL_SDND15
8501583363682748,HC200802201459083600,47956.03,9115.53,19.01,"INTL_METADND,INTL_ALL,Intl_rest,INTL_MONSOONUSEUROPE,INTL_3K_6K,INTL_GR_high4,IH3STAR,INTL_HPA4,INTL_TVG4,INTL_TRIP4,INTL_SDND15,IHM10",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high4,IHM10, , ,INTL_SDND15
8501583363682780,HC200802201459083600,45930.87,9249.02,20.14,"INTL_METADND,INTL_ALL,INTL_APPFESTUSEUROPE,INTL_AP_MU_PDND,INTL_TAC17,INTL_6K_9K,IH4STAR,INTL_GR_high4,INTL_DND,INTL_BDND,INTL_EBLACK4,INTL_SDND8,IHM10,INTL_APPONLY8,INTL_INDIAIP8",['INTL_GR_high'],[],['INTL_DND'],[],[],['INTL_SDNDND'],INTL_GR_high4,IHM10,INTL_APPONLY8,INTL_INDIAIP8,INTL_SDND8
8501583363682784,HC200802201459083600,54884.43,9885.09,18.01,"INTL_METADND,INTL_ALL,INTL_3K_6K,INTL_GR_high4,IH3STAR,INTL_HPA3,INTL_TVG3,INTL_TRIP3,INTL_DND,INTL_BDND,INTL_EBLACK4,INTL_SDND8,IHM9,INTL_APPONLY8,INTL_INDIAIP8",['INTL_GR_12'],[],['INTL_DND'],[],[],['INTL_SDND7'],INTL_GR_high4,IHM9,INTL_APPONLY8,INTL_INDIAIP8,INTL_SDND8
8501583363682794,HC200802201459083600,7776.9,606.44,7.8,"INTL_METADND,INTL_ALL,Intl_rest,INTL_MONSOONUSEUROPE,INTL_GR_15,IH3STAR,INTL_HPA2,INTL_TVG2,INTL_TRIP2,INTL_SDNDND,IHM3",['INTL_GR_high'],[],[],[],[],"['INTL_SDNDND', 'INTL_SDNDHIGH']",INTL_GR_15,IHM3, , ,INTL_SDNDND
8501583363682796,HC200802201459083600,32576.9,4830.65,14.83,"INTL_METADND,INTL_ALL,Intl_rest,INTL_MONSOONUSEUROPE,INTL_9KPlus,INTL_GR_high2,IH4STAR,INTL_HPA4,INTL_TVG4,INTL_TRIP4,INTL_SDND15,IHM7",['INTL_GR_12'],[],[],[],[],['INTL_SDND15'],INTL_GR_high2,IHM7, , ,INTL_SDND15
8501583363682834,HC200802201456512922,79557.9,4899.52,6.16,"INTL_METADND,INTL_ALL,INTL_HPA3,INTL_TRIP3,INTL_RDND,INTL_TVG3,INTL_3K_6K,IH3STAR,INTL_GR_8,INTL_SDNDND,IHM3",['INTL_GR_21'],[],[],[],[],['INTL_SDNDND'],INTL_GR_8,IHM3, , ,INTL_SDNDND
